Date,Currency,Buying,Selling,Mean
2009-01-15,CHF,1152.9586,1175.7236,1164.3411
2009-01-15,NOK,178.841,182.0034,180.4222
2009-01-15,BEF,28.1495,28.6855,28.4175
2009-01-15,ATS,82.5233,84.0955,83.3094
2009-01-15,KWD,4512.1575,4571.3937,4541.7756
2009-01-15,ZAR,126.6755,128.9679,127.8217
2009-01-15,BIF,1.2437,1.31,1.2769
2009-01-15,SAR,342.9268,349.808,346.3674
2009-01-15,EUR,1693.0322,1727.8908,1710.4615
2009-01-15,NLG,515.2903,525.1111,520.2007
2009-01-15,SEK,152.4431,155.4122,153.9277
2009-01-15,MWK,14.6137,14.7415,14.6776
2009-01-15,GOLD,1040124.888,1063761.492,1051943.19
2009-01-15,AED,350.2683,356.9555,353.6119
2009-01-15,USD,1286.01,1311.99,1299.0
2009-01-15,FRF,173.1137,176.4091,174.7614
2009-01-15,INR,26.2559,26.7753,26.5156
2009-01-15,SDR,2022.778,2063.6422,2043.2101
2009-01-15,ESP,6.8249,6.9546,6.8897
2009-01-15,FIM,190.984,194.6226,192.8033
2009-01-15,PKR,22.3654,22.7184,22.5419
2009-01-15,KES,18.6363,18.9762,18.8062
2009-01-15,DEM,580.5914,591.6528,586.1221
2009-01-15,AUD,845.2944,863.027,854.1607
2009-01-16,JPY,14.3696,14.6518,14.5107
2009-01-16,EUR,1717.366,1752.5904,1734.9782
2009-01-16,SAR,346.3561,353.3061,349.8311
2009-01-16,NLG,520.4432,530.3622,525.4027
2009-01-16,DEM,586.3973,597.5693,591.9833
2009-01-16,NOK,183.508,187.136,185.322
2009-01-16,ATS,83.3486,84.9364,84.1425
2009-01-16,UGX,0.7955,0.8066,0.801
2009-01-16,ZAR,130.8804,133.2586,132.0695
2009-01-16,FIM,192.8939,196.5689,194.7314
2009-01-16,MWK,14.7599,14.8889,14.8244
2009-01-16,ESP,6.8931,7.0242,6.9586
2009-01-16,CHF,1159.9126,1182.7114,1171.312
2009-01-16,SEK,158.4742,161.4255,159.9499
2009-01-16,AED,353.5977,360.6919,357.1448
2009-01-16,GBP,1918.3012,1957.7174,1938.0093
2009-01-16,CAD,1043.353,1063.918,1053.6355
2009-01-16,AUD,874.0097,892.064,883.0368
2009-01-16,INR,26.6053,27.1317,26.8685
2009-01-16,GOLD,1062735.5158,1086325.096,1074530.3059
2009-01-16,PKR,22.589,22.9456,22.7673
2009-01-16,KES,18.8227,19.1659,18.9943
2009-01-16,BIF,1.2562,1.31,1.2831
2009-01-16,DKK,230.5291,235.1027,232.8159
2009-01-16,SDR,2043.0058,2084.2786,2063.6422
2009-01-16,USD,1298.8701,1325.1099,1311.99
2009-01-16,FRF,174.8448,178.1732,176.509
2009-01-16,BEF,28.431,28.9724,28.7017
2009-01-16,ITL,0.5923,0.6036,0.598
2009-01-16,KWD,4494.2047,4553.6423,4523.9235
2009-01-19,SAR,342.8027,349.7055,346.2541
2009-01-19,FIM,190.9149,194.5915,192.7532
2009-01-19,USD,1285.5444,1311.78,1298.6622
2009-01-19,CHF,1150.8903,1173.7473,1162.3188
2009-01-19,GBP,1909.8047,1949.3051,1929.5549
2009-01-19,ZAR,129.688,132.0708,130.8794
2009-01-19,BEF,28.1393,28.6809,28.4101
2009-01-19,JPY,14.1424,14.4279,14.2851
2009-01-19,NOK,187.4873,190.7849,189.1361
2009-01-19,GOLD,1076771.9894,1100845.776,1088808.8827
